syn	length	gc
ENSG00000182700.5	IGIP	3456	0.355
ENSG00000250069.1	AC011379.1	3025	0.424
ENSG00000253965.1	AC008438.2	570	0.588
ENSG00000222790.1	RNU4-14P	122	0.377
ENSG00000200051.1	AC011399.1	77	0.325
ENSG00000243056.2	EIF4EBP3	693	0.57
ENSG00000283717.1	MIR6831	81	0.519
ENSG00000200235.1	AC116353.1	126	0.373
ENSG00000251453.1	HAUS1P1	832	0.409
ENSG00000240518.2	AC116353.2	316	0.566
ENSG00000284325.1	MIR3655	83	0.506
ENSG00000256453.2	DND1	1595	0.619
ENSG00000199990.1	VTRNA1-1	99	0.525
ENSG00000202111.1	VTRNA1-2	89	0.551
ENSG00000202515.1	VTRNA1-3	89	0.607
ENSG00000250515.1	AC116353.4	249	0.329
ENSG00000248106.2	AC116353.3	712	0.313
ENSG00000278907.1	AC005609.2	592	0.488
ENSG00000249504.3	PCDHA14	2298	0.536
ENSG00000278946.1	AC005609.4	447	0.284
ENSG00000278915.1	AC005609.3	577	0.556
ENSG00000278901.1	AC005609.1	617	0.545
ENSG00000279028.1	AC010223.1	279	0.613
ENSG00000171815.6	PCDHB1	7973	0.4
ENSG00000279558.1	AC244517.9	434	0.387
ENSG00000272108.1	AC244517.1	2086	0.323
ENSG00000280336.1	AC244517.12	663	0.374
ENSG00000113212.7	PCDHB7	3740	0.475
ENSG00000120322.4	PCDHB8	2750	0.539
ENSG00000279472.1	AC244517.8	467	0.456
ENSG00000279375.1	AC244517.7	398	0.387
ENSG00000120324.9	PCDHB10	3295	0.485
ENSG00000187372.11	PCDHB13	5061	0.471
ENSG00000279983.1	AC244517.10	548	0.526
ENSG00000277795.1	AC244517.3	1235	0.337
ENSG00000120329.7	SLC25A2	1415	0.503
ENSG00000288095.1	AC005618.4	1508	0.396
ENSG00000280026.1	AC005618.3	554	0.491
ENSG00000279855.1	AC005618.2	458	0.511
ENSG00000276545.1	PCDHGB9P	2297	0.496
ENSG00000273557.1	AC008781.2	335	0.385
ENSG00000242020.3	RN7SL68P	310	0.519
ENSG00000246422.2	DIAPH1-AS1	2480	0.38
ENSG00000240974.1	RPS27AP10	208	0.399
ENSG00000228737.2	AC008781.1	621	0.446
ENSG00000286736.1	AC005753.2	871	0.51
ENSG00000278925.1	AC005753.1	618	0.49
ENSG00000226040.3	AC005740.1	522	0.485
ENSG00000271871.1	AC005740.4	957	0.483
ENSG00000254099.1	AC005740.3	344	0.427
ENSG00000250347.1	AC005740.2	419	0.556
ENSG00000280047.1	AC091825.3	2621	0.443
ENSG00000277968.1	AC091825.2	91	0.615
ENSG00000274721.1	AC091825.1	121	0.488
ENSG00000225147.1	RPS12P10	377	0.504
ENSG00000261757.1	AC005592.1	1640	0.298
ENSG00000287203.1	AC005592.2	875	0.483
ENSG00000285366.1	AC008533.1	537	0.397
ENSG00000230789.1	ARHGAP26-IT1	388	0.443
ENSG00000231579.3	RPL7P21	635	0.469
ENSG00000279679.1	AC091925.2	256	0.305
ENSG00000279130.1	AC091925.1	462	0.366
ENSG00000249429.1	AC016598.1	560	0.487
ENSG00000253023.1	RNU7-156P	74	0.432
ENSG00000249881.1	AC008696.2	825	0.435
ENSG00000266478.1	MIR5197	112	0.393
ENSG00000225869.4	AC008696.1	615	0.55
ENSG00000158497.4	HMHB1	384	0.5
ENSG00000239390.3	RN7SL87P	288	0.552
ENSG00000249605.1	AC008652.1	469	0.446
ENSG00000285605.1	AC109441.1	1317	0.421
ENSG00000250972.1	CKS1BP5	273	0.425
ENSG00000213488.4	AC008716.1	513	0.409
ENSG00000201423.1	RN7SKP246	317	0.524
ENSG00000249229.2	NAMPTP2	1115	0.355
ENSG00000215325.4	ASS1P10	1244	0.543
ENSG00000250842.1	AC137770.1	530	0.34
ENSG00000249363.1	AC011411.1	876	0.412
ENSG00000248493.1	AC005351.1	786	0.417
ENSG00000251556.1	AC091887.1	439	0.421
ENSG00000239602.1	AC091959.2	321	0.433
ENSG00000239317.1	AC091959.1	238	0.441
ENSG00000275740.1	AC091959.3	3311	0.472
ENSG00000238374.1	RNU7-180P	63	0.46
ENSG00000091010.6	POU4F3	2575	0.55
ENSG00000271724.1	AC011396.3	512	0.428
ENSG00000248842.1	AC011396.1	312	0.413
ENSG00000277568.1	AC011375.1	156	0.571
ENSG00000173250.2	GPR151	3088	0.4
ENSG00000250407.1	AC008728.1	691	0.43
ENSG00000280646.2	RNA5SP196	102	0.49
ENSG00000241291.3	RN7SL791P	295	0.536
ENSG00000248568.1	KRT8P48	1220	0.566
ENSG00000249553.1	PPP2R2B-IT1	447	0.412
ENSG00000286468.1	AC010251.1	2387	0.418
ENSG00000250343.1	STK32A-AS1	863	0.474
ENSG00000272239.1	AC011373.1	237	0.359
ENSG00000287630.1	AC011370.1	2375	0.419
ENSG00000249518.1	AC011352.2	1016	0.49
ENSG00000248362.1	AC011352.1	793	0.265
ENSG00000251320.1	AC011352.3	593	0.347
ENSG00000250346.1	EEF1GP2	1243	0.503
ENSG00000249503.1	HMGN1P16	283	0.431
ENSG00000249834.3	PGBD4P3	581	0.399
ENSG00000283653.1	AC091948.1	279	0.362
ENSG00000274799.1	Metazoa_SRP	282	0.553
ENSG00000251330.3	AC114939.1	514	0.44
ENSG00000253297.1	AC008627.1	1704	0.386
ENSG00000169252.5	ADRB2	3443	0.512
ENSG00000272411.1	AC116312.1	314	0.439
ENSG00000251842.1	RNU6-732P	103	0.408
ENSG00000207714.3	MIR584	97	0.536
ENSG00000200161.1	RN7SKP145	303	0.485
ENSG00000253406.1	AC012613.2	4533	0.501
ENSG00000285736.1	AC131025.3	857	0.47
ENSG00000253618.1	GRPEL2-AS1	401	0.476
ENSG00000253865.1	AC131025.1	588	0.517
ENSG00000275871.1	AC131025.2	422	0.512
ENSG00000284182.1	MIR143	106	0.575
ENSG00000276365.1	MIR145	88	0.477
ENSG00000230551.4	AC021078.1	8636	0.365
ENSG00000241112.1	RPL29P14	428	0.551
ENSG00000222213.1	RNU6-588P	105	0.39
ENSG00000287323.1	AC022100.1	680	0.426
ENSG00000221043.2	U3	212	0.481
ENSG00000242928.3	RN7SL868P	303	0.508
ENSG00000199047.3	MIR378A	66	0.53
ENSG00000251583.1	MFFP2	655	0.42
ENSG00000200334.1	Y_RNA	102	0.431
ENSG00000248696.1	AC011406.1	370	0.432
ENSG00000241907.1	RPS20P4	355	0.425
ENSG00000214485.6	RPL7P1	747	0.435
ENSG00000199409.1	AC011382.1	101	0.436
ENSG00000286331.1	AC011388.1	504	0.51
ENSG00000254333.1	NDST1-AS1	368	0.519
ENSG00000253852.1	AC011383.1	617	0.554
ENSG00000286657.1	AC008453.2	1852	0.525
ENSG00000250309.2	AC008453.1	425	0.602
ENSG00000274235.1	AC022106.1	766	0.356
ENSG00000277866.1	AC022106.2	757	0.384
ENSG00000254298.1	AC008641.1	248	0.54
ENSG00000285420.1	PDGFRL2P	888	0.56
ENSG00000270904.1	AC008385.1	355	0.53
ENSG00000253472.1	AC034205.1	638	0.412
ENSG00000271494.1	AC034205.3	1376	0.531
ENSG00000200227.1	RNA5SP197	119	0.471
ENSG00000271795.1	AC011337.1	3317	0.492
ENSG00000276622.1	MIR6499	62	0.548
ENSG00000288081.1	AC011374.3	518	0.521
ENSG00000260581.1	AC011374.1	1567	0.405
ENSG00000222102.1	RN7SKP232	290	0.524
ENSG00000272112.1	AC011374.2	526	0.361
ENSG00000253921.1	AC091982.1	570	0.451
ENSG00000275765.5	AC091982.3	726	0.618
ENSG00000270978.1	AC091982.2	1115	0.509
ENSG00000222308.1	RNA5SP198	127	0.472
ENSG00000242080.1	AC008571.1	300	0.387
ENSG00000242976.3	RN7SL177P	299	0.528
ENSG00000251183.1	LINC01861	537	0.458
ENSG00000261382.1	AC091962.1	1765	0.405
ENSG00000253119.1	HNRNPA3P7	982	0.468
ENSG00000287695.1	AC008625.1	1730	0.399
ENSG00000221430.1	MIR1294	142	0.458
ENSG00000241963.3	RN7SL655P	298	0.523
ENSG00000113196.3	HAND1	1701	0.573
ENSG00000253886.1	AC026688.1	1168	0.412
ENSG00000253146.1	CIR1P1	1133	0.39
ENSG00000264760.1	MIR3141	61	0.689
ENSG00000221552.1	MIR1303	86	0.419
ENSG00000274472.1	AC008379.2	102	0.529
ENSG00000272197.2	RN7SL803P	307	0.534
ENSG00000241187.1	AC008379.1	464	0.407
ENSG00000277039.1	AC112169.1	316	0.557
ENSG00000263361.1	MIR378H	83	0.518
ENSG00000253261.1	AC008410.1	339	0.478
ENSG00000226650.6	KIF4B	4387	0.456
ENSG00000253646.1	AC010476.1	851	0.45
ENSG00000271477.1	AC010591.1	649	0.425
ENSG00000270442.1	AC008725.1	2263	0.374
ENSG00000200275.1	RNA5SP199	92	0.576
ENSG00000286690.1	AC011351.1	940	0.369
ENSG00000253370.2	AC027308.1	110	0.491
ENSG00000254163.1	AC025434.1	460	0.385
ENSG00000199468.1	RNU6-556P	105	0.4
ENSG00000231989.5	PPP1R2B	2234	0.403
ENSG00000270560.1	APOOP1	592	0.421
ENSG00000254246.1	AC011377.1	275	0.418
ENSG00000170613.4	FAM71B	2515	0.507
ENSG00000253980.1	AC010609.1	569	0.45
ENSG00000253653.1	AC009185.1	911	0.514
ENSG00000285868.1	AC008676.3	4266	0.484
ENSG00000251405.3	AC016571.1	1992	0.442
ENSG00000253155.1	AC008676.2	435	0.423
ENSG00000253519.1	AC106801.1	1845	0.387
ENSG00000252068.1	RNU6-390P	103	0.388
ENSG00000254336.1	AC008694.2	306	0.422
ENSG00000187658.7	C5orf52	721	0.542
ENSG00000155858.6	LSM11	6567	0.443
ENSG00000253630.1	AC026407.1	204	0.343
ENSG00000206819.1	RNU6-260P	107	0.421
ENSG00000244331.1	AC008677.2	306	0.552
ENSG00000222626.1	RNU2-48P	191	0.398
ENSG00000253743.1	MARK2P11	1670	0.476
ENSG00000213414.3	AC008677.1	1561	0.598
ENSG00000253422.1	AC008677.3	666	0.416
ENSG00000253792.1	AC025437.5	314	0.475
ENSG00000253673.1	AC025437.4	681	0.385
ENSG00000254047.2	AC025437.6	935	0.496
ENSG00000253449.1	AC025437.3	771	0.441
ENSG00000253424.1	AC025437.2	548	0.389
ENSG00000253134.1	AC025437.1	346	0.523
ENSG00000276778.1	LINC02227	3748	0.435
ENSG00000254350.1	AC091979.1	706	0.48
ENSG00000272085.1	AC091979.2	214	0.458
ENSG00000253811.1	AC136424.2	563	0.425
ENSG00000253456.1	AC136424.1	542	0.463
ENSG00000279204.1	AC134043.3	2238	0.452
ENSG00000253256.1	AC134043.2	638	0.412
ENSG00000253315.1	LINC01932	573	0.318
ENSG00000252458.1	AC134043.1	129	0.45
ENSG00000113302.5	IL12B	2364	0.437
ENSG00000221601.1	RNU4ATAC2P	126	0.468
ENSG00000283413.1	AC008703.1	1174	0.399
ENSG00000248626.1	GAPDHP40	1006	0.518
ENSG00000199398.1	Y_RNA	102	0.451
ENSG00000223908.5	AC068657.1	306	0.444
ENSG00000253772.1	AC112191.1	701	0.489
ENSG00000254373.1	AC112191.2	333	0.42
ENSG00000270612.1	AC112191.3	277	0.397
ENSG00000265237.1	MIR3142	82	0.451
ENSG00000283733.1	MIR146A	99	0.455
ENSG00000253687.1	AC008456.1	731	0.468
ENSG00000254391.1	AC011363.1	458	0.461
ENSG00000253403.1	AC091944.1	449	0.37
ENSG00000118990.5	GLRXP3	321	0.483
ENSG00000280776.2	LINC01202	4388	0.348
ENSG00000201474.1	RNU6-164P	103	0.398
ENSG00000254351.1	ARL2BPP5	481	0.362
ENSG00000249449.1	MRPL57P6	309	0.505
ENSG00000250114.1	AC008723.1	207	0.527
ENSG00000285590.1	AC010291.1	545	0.442
ENSG00000224012.3	AC116917.1	305	0.515
ENSG00000251998.1	RNU6-168P	101	0.366
ENSG00000273569.1	AC008432.1	1320	0.364
ENSG00000271679.1	LSM1P2	322	0.419
ENSG00000253331.1	AC008662.1	674	0.435
ENSG00000253538.1	AC008662.2	389	0.36
ENSG00000253236.2	LINC02143	1258	0.372
ENSG00000253600.1	AC008446.1	451	0.614
ENSG00000206845.1	RNU6-209P	107	0.393
ENSG00000285549.1	AC091973.1	1197	0.425
ENSG00000253693.1	AC008415.1	734	0.357
ENSG00000252794.1	RN7SKP60	239	0.469
ENSG00000253512.1	AC008562.1	330	0.421
ENSG00000253946.1	AC008489.1	483	0.437
ENSG00000254252.1	RPL7P20	745	0.409
ENSG00000254171.1	AC114321.1	533	0.435
ENSG00000229119.3	AC026403.1	295	0.553
ENSG00000254130.1	LINC01947	566	0.458
ENSG00000253713.1	AC091819.2	490	0.486
ENSG00000253469.1	AC091819.1	630	0.41
ENSG00000254365.1	AC091820.2	523	0.432
ENSG00000254297.1	AC091820.1	648	0.452
ENSG00000253527.1	AC008601.1	527	0.476
ENSG00000254187.1	AC008708.2	1124	0.448
ENSG00000253357.1	AC008708.1	474	0.479
ENSG00000253660.1	AC008464.1	663	0.445
ENSG00000253947.1	AC008705.2	489	0.413
ENSG00000253065.1	AC008705.1	115	0.357
ENSG00000253925.1	AC011369.1	2181	0.468
ENSG00000279739.1	AC011369.2	1567	0.403
ENSG00000188573.8	FBLL1	1330	0.69
ENSG00000253861.1	SLC2A3P1	1451	0.451
ENSG00000199035.2	MIR103A1	78	0.487
ENSG00000283612.1	MIR103B1	62	0.468
ENSG00000233913.7	RPL10P9	645	0.541
ENSG00000254192.1	AC011365.2	810	0.538
ENSG00000207739.1	MIR218-2	110	0.555
ENSG00000202345.1	Y_RNA	113	0.398
ENSG00000248965.1	AC011389.2	365	0.477
ENSG00000279752.1	AC011389.3	999	0.467
ENSG00000207619.1	MIR585	94	0.543
ENSG00000206614.1	RNU6-477P	107	0.393
ENSG00000253269.1	AC008680.1	283	0.466
ENSG00000263831.1	MIR378E	79	0.582
ENSG00000253219.1	KRT18P41	1277	0.552
ENSG00000288615.1	AC034199.2	1050	0.448
ENSG00000250274.2	AC034199.1	2272	0.458
ENSG00000253647.1	KCNIP1-OT1	1215	0.429
ENSG00000253858.1	AC008619.1	567	0.481
ENSG00000244501.3	RN7SL623P	310	0.526
ENSG00000253966.1	AC008514.2	1337	0.42
ENSG00000253213.1	USP12P1	1117	0.389
ENSG00000275038.2	AC091980.2	3056	0.55
ENSG00000164438.6	TLX3	1534	0.678
ENSG00000213393.5	AC091980.1	288	0.562
ENSG00000265740.2	RN7SL339P	296	0.47
ENSG00000254256.1	RPSAP71	872	0.513
ENSG00000206909.1	SNORA70J	135	0.533
ENSG00000254012.1	RPL10P8	313	0.546
ENSG00000264249.1	MIR3912	105	0.314
ENSG00000156427.8	FGF18	1998	0.59
ENSG00000288639.1	AC093246.1	333	0.712
ENSG00000285914.1	AC022440.1	2752	0.462
ENSG00000253110.1	AC011410.1	705	0.526
ENSG00000214360.5	EFCAB9	704	0.402
ENSG00000168246.6	UBTD2	2988	0.397
ENSG00000212529.1	AC024561.1	145	0.531
ENSG00000253218.1	KLF3P1	1022	0.489
ENSG00000287814.1	AC011407.1	1297	0.417
ENSG00000280318.1	AC027309.3	351	0.436
ENSG00000253683.1	AC027309.2	192	0.51
ENSG00000265160.1	MIR5003	99	0.485
ENSG00000253445.1	AC027309.1	528	0.544
ENSG00000213386.3	AC022217.1	738	0.576
ENSG00000120129.6	DUSP1	2013	0.552
ENSG00000206741.1	Y_RNA	113	0.407
ENSG00000270243.1	AC022217.4	163	0.331
ENSG00000254295.1	AC008429.3	489	0.509
ENSG00000253785.1	AC008429.2	864	0.426
ENSG00000254328.1	AC008429.4	182	0.484
ENSG00000212402.1	SNORA74B	201	0.547
ENSG00000207210.1	Y_RNA	104	0.404
ENSG00000253439.1	CDC42P5	553	0.429
ENSG00000253172.1	AC008378.1	496	0.526
ENSG00000254200.1	RPL7AP33	588	0.51
ENSG00000201277.1	Y_RNA	101	0.436
ENSG00000252169.1	RNA5SP200	103	0.534
ENSG00000274994.1	MIR8056	82	0.537
ENSG00000199219.1	RNU6-500P	107	0.355
ENSG00000253768.1	AC008663.1	455	0.514
ENSG00000254164.1	AC008663.3	457	0.519
ENSG00000253959.1	LINC01863	494	0.498
ENSG00000253428.1	LINC01942	513	0.579
ENSG00000287003.1	AC008674.1	2405	0.504
ENSG00000253109.1	RPL12P22	490	0.449
ENSG00000253244.1	AC113423.1	289	0.415
ENSG00000254011.1	AC011333.1	436	0.47
ENSG00000249722.1	AC025752.1	558	0.489
ENSG00000213376.4	GAPDHP71	1003	0.53
ENSG00000249031.1	SUMO2P6	288	0.455
ENSG00000250256.1	AC108112.1	659	0.522
ENSG00000248929.1	HIGD1AP3	278	0.439
ENSG00000251670.1	AC113346.2	457	0.501
ENSG00000266890.1	MIR4634	54	0.796
ENSG00000251144.1	AC113346.1	287	0.502
ENSG00000204754.3	LINC01951	1925	0.434
ENSG00000251122.1	NIFKP2	856	0.418
ENSG00000248293.1	AC008413.1	177	0.492
ENSG00000249403.1	AC008413.2	342	0.412
ENSG00000248355.1	ARL2BPP6	439	0.38
ENSG00000184845.4	DRD1	4031	0.466
ENSG00000286350.1	AC091393.2	705	0.474
ENSG00000270839.1	AC091393.1	598	0.528
ENSG00000222111.1	RN7SKP148	275	0.553
ENSG00000200648.1	RNU6-226P	107	0.393
ENSG00000280068.1	AC138965.3	498	0.494
ENSG00000250820.1	AC138965.2	568	0.512
ENSG00000272494.1	OR1X1P	931	0.555
ENSG00000248469.1	AC139491.1	1516	0.459
ENSG00000285476.1	AC139491.7	4334	0.432
ENSG00000251458.1	AC139491.4	354	0.46
ENSG00000248596.8	AC139491.2	3632	0.48
ENSG00000270989.1	AC139493.1	397	0.466
ENSG00000251667.1	BRCC3P1	951	0.473
ENSG00000250909.1	AC138956.1	504	0.444
ENSG00000251414.1	AC138956.2	528	0.523
ENSG00000221464.1	MIR1271	86	0.512
ENSG00000146066.3	HIGD2A	654	0.554
ENSG00000280139.1	AC010297.1	149	0.477
ENSG00000243959.3	RN7SL684P	294	0.531
ENSG00000207420.1	Y_RNA	102	0.422
ENSG00000169258.7	GPRIN1	4234	0.627
ENSG00000266329.1	MIR4281	62	0.774
ENSG00000248484.1	AC113391.1	578	0.521
ENSG00000251446.1	AC113391.2	553	0.588
ENSG00000248859.2	LINC01574	560	0.673
ENSG00000251666.1	ZNF346-IT1	745	0.435
ENSG00000286634.1	AC146507.3	1225	0.375
ENSG00000240729.1	AC146507.2	476	0.422
ENSG00000270706.1	PRMT1P1	1009	0.553
ENSG00000239393.1	AC146507.1	354	0.441
ENSG00000196570.3	PFN3	553	0.714
ENSG00000279821.1	AC145098.2	3026	0.562
ENSG00000248996.1	AC145098.1	434	0.583
ENSG00000272459.1	AC139795.3	541	0.412
ENSG00000249849.1	AC138819.1	431	0.471
ENSG00000249109.1	AC140125.2	1517	0.462
ENSG00000248943.1	AC140125.1	684	0.401
ENSG00000214351.5	OR1X5P	894	0.551
ENSG00000250101.1	AC106795.3	547	0.578
ENSG00000280207.1	AC106795.5	454	0.43
ENSG00000249129.1	SUDS3P1	966	0.509
ENSG00000175325.2	PROP1	1464	0.563
ENSG00000218227.3	AC136632.1	591	0.552
ENSG00000145911.6	N4BP3	5985	0.611
ENSG00000251211.1	AC136632.2	861	0.599
ENSG00000244234.3	GMCL2	2867	0.387
ENSG00000271681.1	AC136601.2	474	0.46
ENSG00000253698.1	AC136601.1	666	0.565
ENSG00000242341.3	RN7SL646P	297	0.566
ENSG00000245688.1	AC008659.1	1458	0.512
ENSG00000252464.1	RN7SKP70	271	0.513
ENSG00000286713.1	AC113348.3	1638	0.442
ENSG00000285891.1	AC113348.1	850	0.502
ENSG00000285978.1	AC113348.2	1653	0.535
ENSG00000274813.1	AC126915.2	190	0.537
ENSG00000253725.1	AC126915.1	1038	0.581
ENSG00000278441.1	AC126915.3	208	0.615
ENSG00000206624.1	RNU1-39P	165	0.461
ENSG00000213328.3	AC104117.1	900	0.513
ENSG00000253869.1	PIGFP1	653	0.383
ENSG00000272431.1	AC104117.5	547	0.49
ENSG00000254035.1	AC104117.3	674	0.518
ENSG00000254158.1	AC104117.4	847	0.515
ENSG00000177932.7	ZNF354C	5893	0.392
ENSG00000253144.1	AC104117.2	515	0.48
ENSG00000253979.1	AC109479.3	360	0.572
ENSG00000253163.1	AC109479.1	624	0.614
ENSG00000253617.2	AC109479.2	174	0.402
ENSG00000250674.1	AC136628.1	561	0.578
ENSG00000274716.1	U4	82	0.39
ENSG00000253652.1	AC136628.4	535	0.536
ENSG00000251545.2	AC136628.2	1142	0.583
ENSG00000253520.1	AC136628.3	290	0.421
ENSG00000249140.1	PRDX2P3	586	0.546
ENSG00000244945.1	RUFY1-AS1	1966	0.516
ENSG00000273549.1	Metazoa_SRP	260	0.592
ENSG00000204659.5	CBY3	868	0.653
ENSG00000221394.1	MIR1229	69	0.667
ENSG00000222448.1	RN7SKP150	321	0.483
ENSG00000252202.1	Y_RNA	96	0.417
ENSG00000245317.2	AC008393.1	1454	0.414
ENSG00000242979.1	RPS15AP18	392	0.467
ENSG00000249876.1	AC010285.2	676	0.438
ENSG00000249412.1	AC010285.1	569	0.485
ENSG00000285865.1	AC010285.3	2015	0.475
ENSG00000198995.3	MIR340	95	0.389
ENSG00000278965.1	AC122713.2	3335	0.504
ENSG00000253480.1	AC122713.1	1015	0.408
ENSG00000229721.3	AC104115.1	623	0.518
ENSG00000253908.1	AC104115.2	687	0.373
ENSG00000248367.1	AC008610.1	393	0.557
ENSG00000200555.1	RNU6-525P	104	0.394
ENSG00000250749.1	AC122714.1	459	0.495
ENSG00000251352.1	AC122714.2	707	0.595
ENSG00000248717.1	LINC02222	1039	0.469
ENSG00000236791.2	OR2AI1P	932	0.494
ENSG00000199892.2	RNU1-17P	152	0.467
ENSG00000174339.2	OR2Y1	1058	0.507
ENSG00000280161.1	AC022413.1	984	0.623
ENSG00000222852.1	Y_RNA	90	0.433
ENSG00000243664.1	RPS29P12	152	0.461
ENSG00000249287.1	AC091874.2	1195	0.569
ENSG00000248761.1	AC091874.1	720	0.442
ENSG00000231228.4	ARPP19P1	339	0.475
ENSG00000168903.9	BTNL3	2439	0.485
ENSG00000206686.1	RNU6-1036P	104	0.423
ENSG00000277912.1	MIR8089	82	0.622
ENSG00000241870.1	AC008620.1	592	0.544
ENSG00000214295.4	FOXO1B	1527	0.559
ENSG00000248560.1	AC008620.2	1569	0.551
ENSG00000248514.1	AC008443.3	456	0.651
ENSG00000286644.1	AC008443.8	584	0.574
ENSG00000264732.1	MIR4638	68	0.721
ENSG00000247049.2	AC008443.1	566	0.518
ENSG00000272296.1	SNORD96A	79	0.519
ENSG00000264549.1	SNORD95	68	0.574
ENSG00000286310.1	AC008443.7	708	0.322
ENSG00000248103.1	AC008443.2	549	0.607
ENSG00000274525.1	AC008443.6	246	0.362
ENSG00000222533.1	RNU6-705P	104	0.404
ENSG00000274553.1	AC138035.3	2791	0.615
ENSG00000250765.6	AC138035.2	727	0.495
ENSG00000230178.1	OR4F3	995	0.457
ENSG00000251035.1	WBP1LP4	344	0.494
ENSG00000213285.4	RPL23AP45	468	0.498
ENSG00000271530.1	WBP1LP12	331	0.474
ENSG00000220212.1	OR4F1P	938	0.455
ENSG00000218577.1	AL035696.2	709	0.343
ENSG00000285578.1	AL035696.4	2427	0.483
ENSG00000287265.1	AL365272.1	3484	0.478
ENSG00000286364.1	AL512308.1	2957	0.398
ENSG00000230433.1	AL031770.1	851	0.421
ENSG00000188996.4	HUS1B	1025	0.566
ENSG00000219712.1	AL357054.1	1227	0.513
ENSG00000272463.1	AL357054.4	2814	0.394
ENSG00000287293.1	AL357054.5	888	0.465
ENSG00000271911.1	AL357054.3	2055	0.412
ENSG00000272485.1	AL392183.1	2436	0.439
ENSG00000276687.1	AL356130.1	1965	0.337
ENSG00000270937.1	AL033381.2	732	0.511
ENSG00000176515.1	AL033381.1	3435	0.455
ENSG00000286324.1	AL033381.3	1611	0.363
ENSG00000164379.7	FOXQ1	2661	0.632
ENSG00000281809.1	LINC01394	413	0.443
ENSG00000261730.1	AL034346.1	1277	0.649
ENSG00000137273.6	FOXF2	2451	0.636
ENSG00000275859.1	MIR6720	98	0.622
ENSG00000243439.3	RN7SL352P	277	0.592
ENSG00000218027.2	AL512329.1	1592	0.45
ENSG00000272279.1	AL512329.2	548	0.467
ENSG00000054598.9	FOXC1	3983	0.563
ENSG00000285603.1	AL035693.1	808	0.453
ENSG00000236086.4	HMGN2P28	262	0.489
ENSG00000286512.1	AL031768.2	3542	0.365
ENSG00000272465.1	AL031768.1	701	0.375
ENSG00000280423.1	AL359852.1	2197	0.411
ENSG00000266750.1	MIR4645	77	0.442
ENSG00000170542.6	SERPINB9	4143	0.435
ENSG00000232999.1	AL133351.2	193	0.451
ENSG00000228365.1	AL133351.1	484	0.436
ENSG00000271361.1	HTATSF1P2	631	0.498
ENSG00000274855.1	AL133351.3	106	0.519
ENSG00000232654.1	FAM136BP	417	0.542
ENSG00000217707.2	SERPINB8P1	377	0.464
ENSG00000229282.2	AL031963.2	1032	0.446
ENSG00000272277.1	AL031963.3	850	0.651
ENSG00000222248.1	RNA5SP201	124	0.468
ENSG00000228170.1	AL031963.1	695	0.413
ENSG00000216819.1	TUBB2BP1	871	0.597
ENSG00000272320.1	AL445309.1	1989	0.462
ENSG00000270477.1	AL033523.2	153	0.425
ENSG00000270504.1	AL391422.4	2761	0.622
ENSG00000219992.2	AL391422.1	436	0.417
ENSG00000260604.2	AL590004.3	7060	0.456
ENSG00000218472.2	AL590004.2	371	0.442
ENSG00000217135.2	AL590004.1	300	0.48
ENSG00000217566.2	TDGF1P4	520	0.502
ENSG00000216657.1	GLRX3P2	1038	0.434
ENSG00000279926.1	AL138831.3	1458	0.34
ENSG00000272248.1	AL138831.2	490	0.478
ENSG00000230648.1	AL138831.1	209	0.536
ENSG00000254821.1	AL136309.3	640	0.492
ENSG00000234817.2	ECI2-DT	2277	0.466
ENSG00000237716.2	AL136309.2	1568	0.44
ENSG00000216307.2	AL136309.1	691	0.541
ENSG00000285424.1	AL162718.1	3989	0.427
ENSG00000287761.1	AL162718.3	1159	0.462
ENSG00000201185.1	RNA5SP202	119	0.605
ENSG00000285694.1	AL162718.2	1805	0.451
ENSG00000270695.1	AL133393.1	287	0.39
ENSG00000260673.1	AL034376.1	573	0.443
ENSG00000205444.3	KU-MEL-3	1143	0.5
ENSG00000217385.1	PSMC1P11	1317	0.455
ENSG00000284823.1	AL356747.1	1354	0.486
ENSG00000236336.1	CDYL-AS1	369	0.515
ENSG00000217030.1	AL359643.1	423	0.461
ENSG00000271978.1	AL359643.2	3273	0.456
ENSG00000220685.3	AL139094.1	1188	0.428
ENSG00000288548.1	AL035653.1	1525	0.428
ENSG00000219607.4	PPP1R3G	4147	0.536
ENSG00000265083.1	MIR3691	90	0.578
ENSG00000220446.2	AL121978.1	359	0.334
ENSG00000218574.1	HNRNPA1P37	969	0.469
ENSG00000270174.1	AL022097.1	806	0.501
ENSG00000217239.3	AL136968.2	354	0.469
ENSG00000216360.1	AL136968.1	946	0.497
ENSG00000233064.2	AL136307.1	411	0.55
ENSG00000239472.3	RN7SL221P	281	0.502
ENSG00000215057.4	PKMP5	1601	0.537
ENSG00000263572.2	MIR7853	132	0.47
ENSG00000283616.1	MIR5683	76	0.447
ENSG00000241216.1	SNAPC5P1	301	0.505
ENSG00000285717.1	AL162719.1	2521	0.405
ENSG00000218868.1	CNN3P1	935	0.457
ENSG00000261211.1	AL031123.2	3325	0.439
ENSG00000279368.1	AL031123.3	1837	0.447
ENSG00000287497.1	AL031123.4	437	0.506
ENSG00000288046.1	AL031123.5	4461	0.408
ENSG00000224532.2	AL136361.1	506	0.547
ENSG00000219986.2	BTF3P7	488	0.434
ENSG00000223342.2	AL158817.1	933	0.491
ENSG00000240936.3	RN7SL554P	292	0.517
