Geneid	syn	length	gc
ENST00000316333.9	ENSG00000164853.9	UNCX	2091	0.724
ENST00000453798.1	ENSG00000233082.1	AC073094.1	433	0.517
ENST00000445345.1	ENSG00000225981.1	AC102953.1	498	0.631
ENST00000609755.1	ENSG00000273230.1	AC102953.2	3026	0.603
ENST00000416100.1	ENSG00000231927.1	AC093734.1	242	0.636
ENST00000412727.1	ENSG00000230444.1	TFAMP1	736	0.387
ENST00000421380.1	ENSG00000231476.1	AC074389.2	437	0.538
ENST00000450458.1	ENSG00000234977.1	AC074389.3	454	0.612
ENST00000651235.1	ENSG00000286192.1	AC069288.1	5697	0.565
ENST00000580817.1	ENSG00000265089.1	MIR4655	74	0.689
ENST00000617724.1	ENSG00000284047.1	MIR6836	63	0.778
ENST00000604197.1	ENSG00000271098.1	IMMP1LP3	224	0.446
ENST00000603368.1	ENSG00000271163.1	AC004840.2	285	0.54
ENST00000580107.1	ENSG00000264357.1	MIR4648	72	0.639
ENST00000438379.1	ENSG00000231357.1	AC006028.1	402	0.398
ENST00000423194.1	ENSG00000237286.1	CARD11-AS1	969	0.478
ENST00000364924.1	ENSG00000201794.1	RN7SKP130	301	0.518
ENST00000414126.1	ENSG00000231892.1	AC073316.2	418	0.481
ENST00000437354.1	ENSG00000236708.1	SDK1-AS1	982	0.487
ENST00000427920.1	ENSG00000236510.1	AC011284.1	856	0.481
ENST00000639380.1	ENSG00000283991.1	AC017000.1	578	0.557
ENST00000566950.1	ENSG00000261809.1	CYP3A54P	75	0.44
ENST00000667321.1	ENSG00000286874.1	AC072054.1	323	0.61
ENST00000658333.1	ENSG00000287665.1	AC092428.1	2489	0.551
ENST00000579503.1	ENSG00000264474.1	MIR4656	75	0.707
ENST00000656625.1	ENSG00000287541.1	AC092610.1	145	0.697
ENST00000384168.1	ENSG00000206895.1	Y_RNA	102	0.412
ENST00000404991.2	ENSG00000218823.2	PAPOLB	4293	0.407
ENST00000454916.1	ENSG00000213935.3	RPL22P16	373	0.432
ENST00000674911.1	ENSG00000288620.1	AC092032.2	451	0.417
ENST00000404404.6	ENSG00000288633.1	AC092032.3	850	0.6
ENST00000603090.1	ENSG00000270822.1	AC092032.1	165	0.509
ENST00000338590.8	ENSG00000275328.1	SPDYE19P	713	0.571
ENST00000498308.1	ENSG00000273313.1	RBAKDN	514	0.652
ENST00000365169.1	ENSG00000202039.1	RNU6-215P	102	0.333
ENST00000342963.2	ENSG00000241269.1	AC093620.1	583	0.65
ENST00000455866.1	ENSG00000188365.3	AC092171.1	753	0.578
ENST00000609130.1	ENSG00000272953.1	AC092171.4	632	0.549
ENST00000610122.1	ENSG00000234432.4	AC092171.3	2651	0.647
ENST00000608012.1	ENSG00000273084.1	AC092171.5	942	0.592
ENST00000444210.2	ENSG00000230733.2	AC092171.2	3251	0.594
ENST00000385238.1	ENSG00000207973.1	MIR589	99	0.626
ENST00000609813.1	ENSG00000272719.1	AC006483.2	515	0.555
ENST00000487308.1	ENSG00000228974.5	AC006483.1	313	0.511
ENST00000443837.1	ENSG00000237738.1	RNF216-IT1	337	0.537
ENST00000635894.1	ENSG00000283419.1	MIR6874	71	0.451
ENST00000582856.2	ENSG00000277265.1	RN7SL556P	298	0.584
ENST00000365120.1	ENSG00000201990.1	Y_RNA	103	0.447
ENST00000384488.1	ENSG00000207217.1	SNORA80D	135	0.585
ENST00000409061.2	ENSG00000157999.6	ANKRD61	1423	0.482
ENST00000480512.3	ENSG00000240718.3	RN7SL851P	303	0.548
ENST00000517120.1	ENSG00000252929.1	RNU6-218P	105	0.41
ENST00000365403.1	ENSG00000202273.1	Y_RNA	103	0.408
ENST00000614820.1	ENSG00000274319.1	RPSAP73	330	0.488
ENST00000496556.1	ENSG00000231359.3	AC072052.1	306	0.487
ENST00000434951.1	ENSG00000232581.1	AC079742.1	357	0.541
ENST00000457543.4	ENSG00000236609.4	ZNF853	3864	0.639
ENST00000328239.8	ENSG00000198580.7	AC073343.1	651	0.387
ENST00000616891.1	ENSG00000277327.1	SPDYE20P	632	0.535
ENST00000609433.1	ENSG00000273252.1	OR7E39P	375	0.52
ENST00000285383.6	ENSG00000155070.8	UNC93B2	730	0.675
ENST00000496207.1	ENSG00000205897.5	OR7E136P	1015	0.494
ENST00000508367.2	ENSG00000250561.2	OR7E59P	1000	0.491
ENST00000490376.1	ENSG00000243531.1	AC079804.2	200	0.49
ENST00000482043.1	ENSG00000226943.3	ALG1L5P	771	0.554
ENST00000461922.1	ENSG00000241539.1	AC079804.1	436	0.532
ENST00000478302.1	ENSG00000242731.3	FAM86LP	853	0.589
ENST00000671358.1	ENSG00000287860.1	AC079804.3	1388	0.472
ENST00000580847.1	ENSG00000266287.1	MIR3683	82	0.5
ENST00000497346.1	ENSG00000239696.3	AC092104.1	1441	0.373
ENST00000364348.1	ENSG00000201218.1	Y_RNA	109	0.431
ENST00000467154.1	ENSG00000244167.1	AC005532.2	373	0.424
ENST00000449377.1	ENSG00000236712.1	AC079448.1	373	0.421
ENST00000608770.1	ENSG00000272732.1	AC004982.1	1655	0.33
ENST00000609858.1	ENSG00000272745.1	AC004948.1	672	0.308
ENST00000469183.5	ENSG00000283549.1	AC007161.3	637	0.529
ENST00000604734.1	ENSG00000270314.1	AC007161.2	1109	0.377
ENST00000364877.1	ENSG00000201747.1	RNU6-534P	106	0.349
ENST00000399411.2	ENSG00000214998.2	CCNB2P1	1150	0.421
ENST00000451066.1	ENSG00000234141.1	AC006042.3	692	0.344
ENST00000428660.1	ENSG00000233108.1	GLCCI1-DT	568	0.488
ENST00000454684.1	ENSG00000233264.2	AC006042.2	1469	0.367
ENST00000449931.1	ENSG00000227719.1	AC006042.1	524	0.456
ENST00000458624.1	ENSG00000244239.1	AC007009.1	429	0.618
ENST00000424460.1	ENSG00000229970.3	AC007128.1	1853	0.45
ENST00000420684.1	ENSG00000236748.1	AC009500.1	583	0.405
ENST00000605206.1	ENSG00000271526.1	AC004852.1	154	0.539
ENST00000614131.1	ENSG00000278446.1	AC004852.3	326	0.396
ENST00000434621.2	ENSG00000233876.2	GAPDHP68	1008	0.503
ENST00000605169.1	ENSG00000271077.1	PER3P1	829	0.375
ENST00000443027.1	ENSG00000197320.5	AC060834.1	2032	0.588
ENST00000603806.1	ENSG00000270611.1	AC006363.1	463	0.415
ENST00000654800.1	ENSG00000287409.1	AC004936.1	873	0.397
ENST00000656131.1	ENSG00000286639.1	AC004879.1	775	0.387
ENST00000391120.2	ENSG00000212422.2	U3	215	0.433
ENST00000634803.1	ENSG00000283117.1	MGC4859	3118	0.388
ENST00000419827.2	ENSG00000229091.3	HSPA8P8	1942	0.449
ENST00000453188.1	ENSG00000234356.1	AC009945.1	298	0.597
ENST00000422697.1	ENSG00000236414.1	AC004415.1	449	0.445
ENST00000364904.1	ENSG00000201774.1	Y_RNA	97	0.402
ENST00000604183.1	ENSG00000271185.1	AC007029.1	313	0.687
ENST00000439311.1	ENSG00000230370.1	RPL23AP52	478	0.479
ENST00000417106.1	ENSG00000226827.1	NPM1P11	855	0.399
ENST00000425837.1	ENSG00000230435.1	AC004160.2	563	0.478
ENST00000445066.1	ENSG00000235920.1	THRAP3P3	978	0.461
ENST00000619978.1	ENSG00000274970.1	AC013470.4	986	0.358
ENST00000420252.1	ENSG00000236048.2	AC013470.3	1194	0.36
ENST00000421146.1	ENSG00000203523.3	TAS2R2P	910	0.371
ENST00000453438.1	ENSG00000224667.1	AC013470.1	462	0.372
ENST00000433040.1	ENSG00000225606.1	AC005281.1	911	0.553
ENST00000437088.1	ENSG00000229233.1	AC011891.2	432	0.356
ENST00000604949.1	ENSG00000271253.1	AC011891.3	397	0.451
ENST00000362600.1	ENSG00000199470.1	AC011891.1	132	0.485
ENST00000411042.1	ENSG00000222974.1	RN7SKP228	263	0.517
ENST00000441256.1	ENSG00000230879.1	RBMX2P4	376	0.37
ENST00000456809.1	ENSG00000237713.1	AC011287.2	842	0.414
ENST00000436455.1	ENSG00000213875.3	AC005019.1	431	0.445
ENST00000516565.1	ENSG00000252374.1	Y_RNA	95	0.368
ENST00000418672.1	ENSG00000223445.1	RPL6P21	846	0.435
ENST00000458319.1	ENSG00000233167.1	EEF1A1P26	1363	0.431
ENST00000412014.1	ENSG00000226323.1	AC006150.1	263	0.407
ENST00000442645.1	ENSG00000225816.1	GTF3AP5	697	0.379
ENST00000445093.1	ENSG00000227489.1	AC006458.1	653	0.361
ENST00000262041.6	ENSG00000106511.6	MEOX2	2371	0.45
ENST00000451240.1	ENSG00000237070.1	AC005550.2	3743	0.313
ENST00000438923.1	ENSG00000225974.1	AC005550.1	312	0.397
ENST00000476382.1	ENSG00000235828.5	RPL36AP26	318	0.459
ENST00000659664.1	ENSG00000286376.1	AC006041.2	3388	0.383
ENST00000425322.1	ENSG00000229379.1	AC006041.1	328	0.326
ENST00000415878.1	ENSG00000224683.1	RPL36AP29	321	0.455
ENST00000605985.1	ENSG00000272537.1	AC005014.3	190	0.347
ENST00000432006.1	ENSG00000224280.1	AC005014.1	2976	0.579
ENST00000607795.2	ENSG00000272361.2	AC005014.2	599	0.394
ENST00000663260.1	ENSG00000287799.1	AC005014.4	627	0.404
ENST00000418907.1	ENSG00000235837.1	AC073333.1	648	0.465
ENST00000603589.1	ENSG00000270593.1	AC073333.2	769	0.449
ENST00000418130.1	ENSG00000232400.1	RAD17P1	2042	0.385
ENST00000413158.1	ENSG00000227965.1	AC098592.2	265	0.362
ENST00000419352.1	ENSG00000223867.1	AC098592.1	333	0.375
ENST00000428816.1	ENSG00000232841.1	BRWD1P3	390	0.482
ENST00000622007.1	ENSG00000278569.1	Metazoa_SRP	277	0.505
ENST00000637807.1	ENSG00000283321.1	AC019117.3	3523	0.408
ENST00000362603.1	ENSG00000199473.1	SNORA63	126	0.349
ENST00000448898.1	ENSG00000228675.1	AC006482.1	273	0.407
ENST00000625121.1	ENSG00000279048.1	AC080080.1	2420	0.429
ENST00000454810.1	ENSG00000236195.1	RNMTL1P2	951	0.488
ENST00000624307.1	ENSG00000280340.1	AC080080.2	590	0.422
ENST00000506618.4	ENSG00000229937.8	PRPS1L1	1077	0.459
ENST00000408466.1	ENSG00000221393.1	MIR1302-6	90	0.278
ENST00000411797.1	ENSG00000225000.1	AC010082.1	546	0.39
ENST00000410232.1	ENSG00000222164.1	RN7SKP266	287	0.436
ENST00000447057.1	ENSG00000226522.1	HDAC9-AS1	313	0.383
ENST00000452663.1	ENSG00000232492.1	NPM1P13	865	0.393
ENST00000419944.1	ENSG00000232821.1	AC003986.2	1711	0.395
ENST00000417460.1	ENSG00000236536.1	AC003986.3	692	0.46
ENST00000452700.1	ENSG00000229533.1	AC003986.1	1526	0.546
ENST00000275461.3	ENSG00000146618.3	FERD3L	640	0.625
ENST00000580367.1	ENSG00000265932.1	MIR3146	79	0.38
ENST00000418764.2	ENSG00000237921.2	AC004543.1	369	0.409
ENST00000396599.2	ENSG00000213860.4	RPL21P75	483	0.431
ENST00000590912.1	ENSG00000267055.1	AC007001.1	670	0.397
ENST00000439285.1	ENSG00000228598.1	MACC1-AS1	639	0.352
ENST00000363883.1	ENSG00000200753.1	AC004130.1	71	0.408
ENST00000429983.1	ENSG00000179460.5	EEF1A1P27	1135	0.454
ENST00000447806.1	ENSG00000231525.1	AC002486.2	590	0.405
ENST00000435098.1	ENSG00000223866.1	AC002486.1	391	0.435
ENST00000405810.2	ENSG00000219451.3	RPL23P8	428	0.498
ENST00000443431.1	ENSG00000234839.1	RPS26P30	335	0.484
ENST00000649509.1	ENSG00000285592.1	AC080068.1	923	0.418
ENST00000467147.3	ENSG00000243633.3	RN7SL542P	294	0.544
ENST00000441309.1	ENSG00000225308.2	ASS1P11	1216	0.544
ENST00000353977.2	ENSG00000195024.2	RNU1-15P	144	0.458
ENST00000440420.1	ENSG00000229949.1	AC005094.1	368	0.424
ENST00000408856.1	ENSG00000221783.1	MIR1183	89	0.483
ENST00000516184.1	ENSG00000251993.1	RNA5SP227	113	0.416
ENST00000434005.1	ENSG00000233476.3	EEF1A1P6	1384	0.483
ENST00000435127.1	ENSG00000232759.1	AC002480.1	2432	0.475
ENST00000325042.2	ENSG00000179428.2	IL6-AS1	1364	0.483
ENST00000444653.1	ENSG00000228803.1	MTCYBP42	1130	0.388
ENST00000447425.1	ENSG00000234513.1	AC073072.1	348	0.529
ENST00000669358.1	ENSG00000286703.1	AC005682.2	2415	0.402
ENST00000408813.1	ENSG00000221740.1	SNORD93	74	0.419
ENST00000452069.1	ENSG00000226329.2	AC005682.1	1467	0.487
ENST00000413498.1	ENSG00000226279.2	RPL12P10	498	0.47
ENST00000431883.1	ENSG00000230042.1	AK3P3	664	0.465
ENST00000648537.1	ENSG00000285926.1	AC005082.2	948	0.475
ENST00000413042.3	ENSG00000226816.3	AC005082.1	2259	0.471
ENST00000425959.1	ENSG00000232627.1	AC021876.1	359	0.432
ENST00000390962.1	ENSG00000212264.1	SNORD65C	71	0.338
ENST00000516781.1	ENSG00000252590.1	RNU7-143P	65	0.477
ENST00000428259.1	ENSG00000236654.2	AC079780.1	207	0.469
ENST00000439199.1	ENSG00000232818.2	RPS2P32	892	0.613
ENST00000363977.1	ENSG00000200847.1	Y_RNA	102	0.461
ENST00000444025.1	ENSG00000224785.1	AC006026.1	1803	0.375
ENST00000416636.2	ENSG00000232553.3	CLK2P1	1294	0.526
ENST00000432690.1	ENSG00000227436.1	FCF1P1	571	0.417
ENST00000457376.1	ENSG00000228953.1	AC006026.2	180	0.483
ENST00000454029.1	ENSG00000234286.1	AC006026.3	143	0.608
ENST00000451824.1	ENSG00000234800.2	PCMTD1P3	472	0.407
ENST00000458300.1	ENSG00000231328.1	TPT1P7	517	0.395
ENST00000412828.1	ENSG00000227930.1	AC003087.1	499	0.425
ENST00000516232.1	ENSG00000252041.1	RNA5SP228	133	0.519
ENST00000439839.1	ENSG00000228944.1	AC004485.1	527	0.431
ENST00000662001.1	ENSG00000287523.1	AC003044.1	1462	0.441
ENST00000384150.1	ENSG00000206877.1	RNU6-1103P	107	0.411
ENST00000604488.1	ENSG00000271096.1	SUMO2P14	293	0.392
ENST00000605160.1	ENSG00000271330.1	AC005084.1	304	0.431
ENST00000666237.1	ENSG00000287093.1	AC003093.1	1324	0.528
ENST00000420809.1	ENSG00000234999.1	SNRPCP19	460	0.517
ENST00000457229.1	ENSG00000234406.1	AC004129.2	287	0.491
ENST00000417617.1	ENSG00000213798.3	AC004129.1	796	0.519
ENST00000222674.2	ENSG00000105954.2	NPVF	1190	0.365
ENST00000649460.1	ENSG00000285716.1	AC004129.3	1792	0.472
ENST00000365363.2	ENSG00000202233.2	U3	227	0.476
ENST00000422363.1	ENSG00000234922.1	TSEN15P3	367	0.518
ENST00000650415.1	ENSG00000285960.1	AC005100.2	1379	0.434
ENST00000412197.1	ENSG00000227386.1	AC091705.1	209	0.45
ENST00000466070.1	ENSG00000239622.1	AC005165.2	380	0.534
ENST00000659273.1	ENSG00000287096.1	AC005165.3	1360	0.448
ENST00000666265.1	ENSG00000286725.1	AC018706.1	369	0.436
ENST00000602992.1	ENSG00000270933.1	AC010719.1	747	0.436
ENST00000362215.3	ENSG00000199085.3	MIR148A	68	0.456
ENST00000650328.1	ENSG00000285860.1	AC010677.2	697	0.451
ENST00000441690.1	ENSG00000232383.1	AC010677.1	412	0.464
ENST00000242109.5	ENSG00000122548.5	KIAA0087	4283	0.415
ENST00000623092.1	ENSG00000280255.1	AC004947.2	2671	0.39
ENST00000661238.1	ENSG00000286507.1	AC004947.3	613	0.431
ENST00000441433.1	ENSG00000213787.3	RPL7AP38	803	0.494
ENST00000417997.1	ENSG00000226059.2	HMGB3P20	600	0.445
ENST00000425942.3	ENSG00000214869.5	TPM3P4	755	0.474
ENST00000396362.3	ENSG00000213786.3	NHP2P2	460	0.55
ENST00000622675.1	ENSG00000276528.1	AC004079.3	125	0.656
ENST00000616712.1	ENSG00000276771.1	AC004079.4	215	0.414
ENST00000619974.1	ENSG00000274864.1	AC004079.2	59	0.441
ENST00000617934.1	ENSG00000274396.1	AC004079.1	102	0.353
ENST00000619311.1	ENSG00000277694.1	AC004079.5	145	0.421
ENST00000467897.2	ENSG00000273433.1	AC004080.6	919	0.565
ENST00000498652.1	ENSG00000272801.1	AC004080.5	368	0.644
ENST00000602610.1	ENSG00000270182.1	AC004080.4	633	0.539
ENST00000470747.4	ENSG00000257184.3	AC004080.3	765	0.535
ENST00000384852.2	ENSG00000283745.1	MIR196B	84	0.476
ENST00000613939.1	ENSG00000273961.1	AC004080.7	98	0.684
ENST00000615604.1	ENSG00000278334.1	AC004080.14	187	0.583
ENST00000613383.1	ENSG00000276496.1	AC004080.8	98	0.571
ENST00000523331.1	ENSG00000253508.1	AC004080.2	556	0.57
ENST00000620901.1	ENSG00000277966.1	AC004080.12	233	0.292
ENST00000620211.1	ENSG00000278592.1	AC004080.15	203	0.591
ENST00000620092.1	ENSG00000278020.1	AC004080.13	179	0.536
ENST00000620415.1	ENSG00000276609.1	AC004080.9	57	0.684
ENST00000616633.1	ENSG00000278708.1	AC004080.16	376	0.511
ENST00000619957.1	ENSG00000277469.1	AC004080.10	337	0.62
ENST00000618195.1	ENSG00000277553.1	AC004080.11	165	0.473
ENST00000656679.1	ENSG00000286323.1	AC004080.17	729	0.551
ENST00000523608.2	ENSG00000253308.2	AC004080.1	757	0.634
ENST00000446039.2	ENSG00000213783.4	RPL35P4	322	0.54
ENST00000446472.3	ENSG00000236569.3	HNRNPA1P73	928	0.466
ENST00000624160.1	ENSG00000279655.1	AC004009.3	645	0.453
ENST00000623016.1	ENSG00000279429.1	AC004009.2	728	0.401
ENST00000453115.1	ENSG00000233830.2	EIF4HP1	687	0.536
ENST00000423961.1	ENSG00000213781.3	PSMC1P2	1204	0.419
ENST00000450406.1	ENSG00000235574.1	AC073150.1	1084	0.612
ENST00000665298.1	ENSG00000286478.1	AC007130.1	489	0.472
ENST00000441955.2	ENSG00000229893.2	AC005091.1	1190	0.505
ENST00000671499.1	ENSG00000287489.1	AC004549.1	342	0.459
ENST00000383896.1	ENSG00000206623.1	RNU6-979P	107	0.374
ENST00000482002.1	ENSG00000174495.12	PPIAP80	490	0.476
ENST00000454851.1	ENSG00000225286.1	AC005105.1	792	0.534
ENST00000539664.3	ENSG00000255690.3	TRIL	4973	0.568
ENST00000436594.1	ENSG00000228421.2	AC005013.1	588	0.549
ENST00000411479.1	ENSG00000233517.1	AC005162.1	578	0.407
ENST00000416513.1	ENSG00000229452.1	CPVL-AS1	389	0.468
ENST00000642619.1	ENSG00000285081.1	AC004593.1	2528	0.419
ENST00000446246.1	ENSG00000235669.1	CHN2-AS1	798	0.464
ENST00000427230.2	ENSG00000237065.2	NANOGP4	913	0.485
ENST00000604053.1	ENSG00000270196.1	AC007255.2	631	0.422
ENST00000445144.1	ENSG00000223437.1	TMSB4XP3	114	0.395
ENST00000390735.2	ENSG00000212024.2	MIR550A3	95	0.505
ENST00000459368.1	ENSG00000238906.1	AC004912.1	105	0.448
ENST00000433088.1	ENSG00000231519.1	AC007285.1	518	0.411
ENST00000636807.1	ENSG00000283618.1	AC007036.4	150	0.433
ENST00000666446.1	ENSG00000286847.1	AC007036.5	2227	0.427
ENST00000415934.1	ENSG00000230751.1	AC007036.2	437	0.517
ENST00000511893.1	ENSG00000251660.1	AC007036.3	614	0.409
ENST00000425758.1	ENSG00000225907.1	RPS27P16	201	0.547
ENST00000430537.1	ENSG00000227017.1	AC007036.1	674	0.521
ENST00000637270.1	ENSG00000283237.1	MIR550B1	97	0.505
ENST00000385037.1	ENSG00000207771.1	MIR550A1	97	0.505
ENST00000442800.1	ENSG00000281593.1	AC006978.2	666	0.417
ENST00000496846.1	ENSG00000235859.5	AC006978.1	1234	0.476
ENST00000608195.1	ENSG00000272638.1	AC006027.1	741	0.476
ENST00000598361.4	ENSG00000281039.1	AC005154.5	687	0.409
ENST00000419639.1	ENSG00000244480.1	AC005154.2	1393	0.503
ENST00000583191.1	ENSG00000264520.1	AC005154.4	368	0.508
ENST00000438110.1	ENSG00000226874.1	AC005154.1	379	0.435
ENST00000579437.1	ENSG00000263683.1	AC005154.3	427	0.499
ENST00000425261.1	ENSG00000223419.1	AC006022.1	388	0.585
ENST00000440376.1	ENSG00000229263.1	AC004691.1	547	0.408
ENST00000509504.2	ENSG00000250424.4	AC004691.2	1531	0.578
ENST00000438721.1	ENSG00000232887.1	AC006466.1	289	0.491
ENST00000658525.1	ENSG00000286487.1	AC006398.1	852	0.481
ENST00000603598.1	ENSG00000271027.1	AC006380.1	186	0.419
ENST00000297142.4	ENSG00000164600.7	NEUROD6	1959	0.393
ENST00000433356.2	ENSG00000231418.2	AC005090.1	1079	0.405
ENST00000424553.1	ENSG00000236460.1	SNX2P2	323	0.474
ENST00000645498.1	ENSG00000284839.1	AC018637.1	687	0.569
ENST00000435950.1	ENSG00000226468.2	AC018641.1	796	0.464
ENST00000435239.1	ENSG00000226421.1	SLC25A5P5	897	0.512
ENST00000417811.2	ENSG00000229358.3	DPY19L1P1	2594	0.416
ENST00000637473.1	ENSG00000283461.1	MIR550B2	97	0.536
ENST00000384841.1	ENSG00000207573.1	MIR550A2	97	0.536
ENST00000609151.1	ENSG00000273014.1	AC018645.3	472	0.286
ENST00000628855.1	ENSG00000281332.1	LINC00997	2646	0.475
ENST00000505003.1	ENSG00000250756.1	AC018645.1	109	0.56
ENST00000516190.1	ENSG00000251999.1	AC018645.2	133	0.398
ENST00000426647.2	ENSG00000231952.3	DPY19L1P2	915	0.386
ENST00000608314.1	ENSG00000272905.1	AC018648.1	668	0.35
ENST00000438811.1	ENSG00000224573.1	AC083863.1	231	0.519
ENST00000517012.1	ENSG00000252821.1	RNU6-388P	105	0.371
ENST00000431518.1	ENSG00000229054.1	RPS29P14	171	0.526
ENST00000482644.3	ENSG00000241420.3	RN7SL505P	293	0.546
ENST00000416825.1	ENSG00000228015.1	AC074338.1	156	0.654
ENST00000410809.1	ENSG00000222741.1	RNA5SP229	99	0.485
ENST00000427493.1	ENSG00000224946.1	AC007312.1	258	0.535
ENST00000423599.1	ENSG00000238090.1	AC006195.1	923	0.541
ENST00000311067.3	ENSG00000173862.3	AC008080.1	1058	0.509
ENST00000455149.1	ENSG00000227481.1	AC008080.2	577	0.525
ENST00000440074.1	ENSG00000233219.1	AC008080.3	380	0.432
ENST00000667035.1	ENSG00000286300.1	AC007350.1	1940	0.366
ENST00000365561.1	ENSG00000202431.1	RNU6-438P	103	0.33
ENST00000450192.1	ENSG00000235379.1	RPL7P31	724	0.398
ENST00000432906.1	ENSG00000230356.1	NCAPD2P1	1801	0.524
ENST00000478131.3	ENSG00000242653.3	RN7SL132P	296	0.514
ENST00000515993.1	ENSG00000251802.1	AC004788.1	133	0.391
ENST00000408742.1	ENSG00000221669.1	MIR548N	75	0.36
ENST00000659178.1	ENSG00000287249.1	AC005400.1	860	0.476
ENST00000467589.1	ENSG00000236592.5	S100A11P2	312	0.494
ENST00000442323.1	ENSG00000226063.1	AC009531.1	580	0.557
ENST00000656715.1	ENSG00000287651.1	AC007652.3	719	0.505
ENST00000661178.1	ENSG00000286526.1	AC007652.2	1084	0.484
ENST00000441150.1	ENSG00000235464.1	AC007652.1	562	0.464
ENST00000664446.1	ENSG00000287032.1	AC018647.3	2689	0.38
ENST00000605778.1	ENSG00000271122.1	AC018647.2	4200	0.46
ENST00000457394.1	ENSG00000232736.1	AC007551.1	519	0.464
ENST00000613889.1	ENSG00000274328.1	AC007551.2	389	0.548
ENST00000363576.1	ENSG00000200446.1	RNU6-1085P	107	0.402
ENST00000621060.1	ENSG00000273580.1	AC087072.2	682	0.406
ENST00000455017.1	ENSG00000226102.3	SEPTIN7P3	621	0.383
ENST00000603727.1	ENSG00000270889.1	AC087072.1	421	0.632
ENST00000667088.1	ENSG00000287893.1	AC083864.5	1150	0.45
ENST00000650410.1	ENSG00000285573.1	AC083864.4	974	0.447
ENST00000381493.2	ENSG00000205745.2	AC083864.1	1497	0.558
ENST00000419108.1	ENSG00000228815.1	MARK2P13	1849	0.528
ENST00000605782.1	ENSG00000271117.1	AC078841.1	1183	0.544
ENST00000447461.1	ENSG00000228770.1	AC007327.1	264	0.394
ENST00000440788.1	ENSG00000229679.1	AC007327.2	457	0.411
ENST00000419980.1	ENSG00000234457.1	AC006960.1	153	0.438
ENST00000561845.1	ENSG00000260070.1	AC006960.3	705	0.4
ENST00000364562.1	ENSG00000201432.1	Y_RNA	112	0.429
ENST00000435254.1	ENSG00000237400.1	AC006960.2	531	0.476
ENST00000449672.1	ENSG00000230539.1	AOAH-IT1	573	0.515
ENST00000608114.1	ENSG00000272984.1	AC007349.4	532	0.395
ENST00000419326.1	ENSG00000229424.1	AC007349.1	587	0.472
ENST00000415356.1	ENSG00000235728.1	AC007349.3	872	0.425
ENST00000434232.1	ENSG00000225739.1	NPM1P18	732	0.408
ENST00000439998.1	ENSG00000230831.1	AC007349.2	553	0.505
ENST00000408398.1	ENSG00000221325.1	MIR1200	76	0.487
ENST00000419535.1	ENSG00000224101.1	ELMO1-AS1	528	0.464
ENST00000448974.1	ENSG00000224706.1	RPS17P13	407	0.491
ENST00000410937.1	ENSG00000222869.1	RNU6-565P	100	0.29
ENST00000440748.1	ENSG00000213744.3	RPS10P14	502	0.516
ENST00000363243.1	ENSG00000200113.1	AC078843.1	140	0.514
ENST00000364696.1	ENSG00000201566.1	Y_RNA	102	0.412
ENST00000320802.6	ENSG00000178503.6	NECAP1P1	830	0.483
ENST00000636634.1	ENSG00000283444.1	GPR141BP	831	0.375
ENST00000437554.1	ENSG00000225314.1	AC018634.1	401	0.481
ENST00000436911.6	ENSG00000227191.8	TRGC2	1013	0.418
ENST00000390333.1	ENSG00000211687.1	TRGJ2	50	0.36
ENST00000390334.1	ENSG00000211688.1	TRGJP2	60	0.433
ENST00000443402.6	ENSG00000211689.7	TRGC1	2730	0.387
ENST00000390337.1	ENSG00000211690.1	TRGJ1	50	0.36
ENST00000390338.2	ENSG00000211691.2	TRGJP	61	0.426
ENST00000390339.1	ENSG00000211692.1	TRGJP1	60	0.417
ENST00000390340.2	ENSG00000211693.2	TRGV11	463	0.413
ENST00000453257.1	ENSG00000231202.1	TRGVB	471	0.382
ENST00000390341.2	ENSG00000211694.2	TRGV10	512	0.453
ENST00000440505.1	ENSG00000231916.1	AC006033.1	426	0.692
ENST00000444775.2	ENSG00000211695.2	TRGV9	1735	0.493
ENST00000413819.1	ENSG00000225992.1	TRGVA	285	0.575
ENST00000609522.1	ENSG00000272908.1	AC006033.2	1968	0.407
ENST00000390343.2	ENSG00000211696.2	TRGV8	468	0.487
ENST00000427089.1	ENSG00000249978.1	TRGV7	353	0.476
ENST00000417928.1	ENSG00000226212.2	TRGV6	299	0.458
ENST00000419915.1	ENSG00000228668.1	TRGV5P	354	0.483
ENST00000390344.2	ENSG00000211697.4	TRGV5	552	0.507
ENST00000390345.2	ENSG00000211698.2	TRGV4	688	0.536
ENST00000390346.2	ENSG00000211699.2	TRGV3	537	0.507
ENST00000426402.2	ENSG00000233306.2	TRGV2	544	0.5
ENST00000390348.2	ENSG00000211701.2	TRGV1	465	0.499
ENST00000468131.3	ENSG00000241756.3	RN7SL83P	297	0.542
ENST00000423953.1	ENSG00000227404.1	KRT8P20	1409	0.584
